epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.56,1.68308,2.92641,1.69033,0.00631,0.71961,0.05419,0.02232,2.30311,3.63096,2.56266,0.0901407,0.000140693,0.000140693
2,98.5902,1.39852,2.44504,1.4971,0.0072,0.79316,0.18342,0.08566,1.81605,3.01809,1.9515,0.0792935,0.000293485,0.000293485
3,141.902,1.39126,2.20278,1.49638,0.67254,0.0581,0.20765,0.08848,1.76279,2.89091,1.86729,0.0684442,0.000444214,0.000444214
4,186.935,1.33879,1.94951,1.4224,0.38211,0.09287,0.2024,0.09319,1.69138,2.96222,1.8698,0.0575929,0.00059288,0.00059288
5,252.58,1.31893,1.88887,1.43533,0.43283,0.27841,0.2867,0.13494,1.79161,2.84021,1.90082,0.0467395,0.000739482,0.000739482
6,308.829,1.25878,1.76487,1.39737,0.27349,0.31739,0.23138,0.10232,1.78471,2.5184,1.82712,0.035884,0.000884021,0.000884021
7,357.619,1.26447,1.70076,1.37801,0.5539,0.44138,0.48547,0.2842,1.35149,2.01566,1.57835,0.0250265,0.0010265,0.0010265
8,411.672,1.23077,1.64116,1.35986,0.32732,0.41944,0.33625,0.16636,1.4881,2.3699,1.58829,0.0141669,0.00116691,0.00116691
9,462.344,1.18509,1.54719,1.3244,0.18545,0.31517,0.17993,0.08623,2.01104,3.04499,1.91689,0.00330526,0.00130526,0.00130526
10,505.181,1.17808,1.51886,1.3304,0.64846,0.42797,0.45118,0.24517,1.4118,2.20914,1.52112,0.00132251,0.00132251,0.00132251
11,546.405,1.25134,1.5317,1.38841,0.42361,0.42044,0.38739,0.21657,1.72903,2.36462,1.84639,0.00131314,0.00131314,0.00131314
12,587.792,1.18136,1.48599,1.33079,0.35231,0.43577,0.35886,0.17415,1.7853,2.47978,1.877,0.00130376,0.00130376,0.00130376
13,642.366,1.1491,1.43334,1.30479,0.36001,0.28416,0.21894,0.09323,1.91394,3.17718,1.9072,0.00129438,0.00129438,0.00129438
14,702.547,1.176,1.44192,1.3301,0.43863,0.52111,0.43834,0.25174,1.64241,2.24653,1.85803,0.001285,0.001285,0.001285
15,758.34,1.1098,1.35907,1.28379,0.62748,0.63218,0.63513,0.40422,1.28406,1.6696,1.44069,0.00127562,0.00127562,0.00127562
16,814.188,1.10688,1.31527,1.26253,0.44229,0.56688,0.48009,0.26215,1.56689,1.94456,1.64625,0.00126624,0.00126624,0.00126624
17,873.944,1.11357,1.31552,1.27276,0.57144,0.54959,0.59517,0.38923,1.27924,1.48622,1.50602,0.00125686,0.00125686,0.00125686
18,934.58,1.04746,1.21921,1.24425,0.61893,0.58251,0.629,0.39385,1.20489,1.75514,1.45056,0.00124748,0.00124748,0.00124748
19,1038.31,1.04388,1.20556,1.24608,0.59723,0.71039,0.706,0.4808,1.12466,1.40526,1.35686,0.0012381,0.0012381,0.0012381
20,1132.64,1.01705,1.17728,1.22763,0.56064,0.46039,0.50126,0.31546,1.42801,1.81993,1.51319,0.00122872,0.00122872,0.00122872
21,1190.8,1.00108,1.14023,1.22081,0.76198,0.53766,0.64673,0.43697,1.24983,1.65893,1.435,0.00121934,0.00121934,0.00121934
22,1238.2,0.97738,1.11282,1.19985,0.79451,0.66816,0.75997,0.56937,0.95992,1.24961,1.15998,0.00120996,0.00120996,0.00120996
23,1280.19,1.00935,1.15736,1.22462,0.69558,0.68937,0.76451,0.5725,0.97972,1.24829,1.14451,0.00120058,0.00120058,0.00120058
24,1318.66,0.91737,1.03796,1.18686,0.66931,0.7043,0.72799,0.54315,0.89863,1.25149,1.16195,0.0011912,0.0011912,0.0011912
25,1357.53,0.9352,1.05936,1.16365,0.61578,0.60966,0.65972,0.45447,1.00024,1.52926,1.1956,0.00118182,0.00118182,0.00118182
26,1398.39,0.89584,1.00634,1.15556,0.76506,0.77986,0.80598,0.56911,1.03842,1.18487,1.28348,0.00117245,0.00117245,0.00117245
27,1441.05,0.89463,0.95666,1.14242,0.80066,0.53451,0.6952,0.44659,1.24032,1.66312,1.39969,0.00116307,0.00116307,0.00116307
28,1478.99,0.8686,0.9284,1.13292,0.71028,0.74832,0.79608,0.59278,0.88691,1.11048,1.11654,0.00115369,0.00115369,0.00115369
29,1522.32,0.89333,0.97363,1.14601,0.65345,0.62358,0.652,0.46659,1.02788,1.58568,1.21825,0.00114431,0.00114431,0.00114431
30,1570.31,0.88585,0.94436,1.14144,0.84284,0.75351,0.85442,0.67983,0.76378,0.86305,1.06477,0.00113493,0.00113493,0.00113493
31,1618.96,0.88488,0.9691,1.15328,0.77756,0.77623,0.84909,0.65381,0.81654,1.01774,1.0707,0.00112555,0.00112555,0.00112555
32,1667.81,0.80251,0.89307,1.10817,0.73116,0.70199,0.77882,0.59065,0.88903,1.20939,1.18105,0.00111617,0.00111617,0.00111617
33,1712.65,0.84369,0.90643,1.11327,0.73546,0.68672,0.761,0.5702,1.00865,1.23469,1.29527,0.00110679,0.00110679,0.00110679
34,1765.21,0.81983,0.8826,1.11534,0.72396,0.52056,0.64735,0.45194,1.18004,1.82832,1.35439,0.00109741,0.00109741,0.00109741
35,1816.75,0.82369,0.84407,1.08711,0.65302,0.61494,0.6489,0.44281,1.26856,1.65368,1.44039,0.00108803,0.00108803,0.00108803
36,1867.71,0.82019,0.85462,1.10727,0.85957,0.8847,0.93487,0.7706,0.67367,0.69163,1.01872,0.00107865,0.00107865,0.00107865
37,1915.64,0.85199,0.88453,1.11455,0.88309,0.87594,0.92583,0.74373,0.68839,0.69256,0.99107,0.00106927,0.00106927,0.00106927
38,1967.38,0.85261,0.90986,1.13357,0.89584,0.84403,0.92817,0.75277,0.70082,0.76042,0.99542,0.00105989,0.00105989,0.00105989
39,2018.15,0.82356,0.8632,1.09574,0.86011,0.76983,0.85958,0.63389,0.9368,0.95789,1.12591,0.00105051,0.00105051,0.00105051
40,2067.68,0.83082,0.88671,1.11796,0.83555,0.80765,0.86749,0.70794,0.73927,0.80234,1.04966,0.00104114,0.00104114,0.00104114
41,2114.24,0.77612,0.82185,1.10223,0.75947,0.71291,0.84186,0.66655,0.78116,1.10455,1.04995,0.00103176,0.00103176,0.00103176
42,2160.31,0.79515,0.83735,1.09555,0.83029,0.88303,0.92476,0.77448,0.64644,0.67728,0.96853,0.00102238,0.00102238,0.00102238
43,2226.3,0.75582,0.81184,1.0634,0.85763,0.71915,0.85849,0.67878,0.79669,0.92532,1.11118,0.001013,0.001013,0.001013
44,2297.09,0.73689,0.75834,1.05431,0.85573,0.85198,0.91576,0.76481,0.61397,0.7144,0.98054,0.00100362,0.00100362,0.00100362
45,2357.87,0.76949,0.81073,1.0924,0.82268,0.86399,0.90812,0.7378,0.64616,0.67206,0.98593,0.000994239,0.000994239,0.000994239
46,2419.54,0.74208,0.77517,1.07208,0.54412,0.43897,0.45175,0.29683,1.5958,2.23162,1.81252,0.000984859,0.000984859,0.000984859
47,2491.17,0.71251,0.7411,1.06317,0.59598,0.54663,0.60509,0.41269,1.23368,1.76304,1.41765,0.00097548,0.00097548,0.00097548
48,2565.9,0.74433,0.76781,1.07496,0.79884,0.72286,0.80935,0.58891,1.01764,1.10214,1.2308,0.000966101,0.000966101,0.000966101
49,2627.73,0.73945,0.76639,1.07596,0.88259,0.73852,0.86589,0.70951,0.68894,0.83584,1.01608,0.000956721,0.000956721,0.000956721
50,2675.22,0.76099,0.7567,1.08638,0.91902,0.87557,0.94041,0.77981,0.61908,0.62093,0.99136,0.000947342,0.000947342,0.000947342
51,2724.11,0.69611,0.71248,1.04768,0.8902,0.92681,0.94581,0.83476,0.5266,0.56657,0.93004,0.000937963,0.000937963,0.000937963
52,2784.79,0.7048,0.72978,1.0418,0.91538,0.90942,0.9531,0.80673,0.59241,0.52071,0.95213,0.000928583,0.000928583,0.000928583
53,2847.9,0.72313,0.75993,1.07244,0.89437,0.87127,0.94923,0.82349,0.5659,0.58661,0.91773,0.000919204,0.000919204,0.000919204
54,2926.89,0.74122,0.74282,1.07629,0.88311,0.8804,0.93816,0.81588,0.54786,0.52671,0.91203,0.000909825,0.000909825,0.000909825
55,3004.98,0.69999,0.72038,1.03851,0.90351,0.91302,0.95742,0.83633,0.50753,0.46857,0.89048,0.000900445,0.000900445,0.000900445
56,3090.95,0.68812,0.70745,1.04387,0.93441,0.90926,0.96645,0.83945,0.5384,0.54983,0.92699,0.000891066,0.000891066,0.000891066
57,3135.34,0.68815,0.68021,1.03733,0.85409,0.85195,0.93142,0.77833,0.6621,0.70828,1.005,0.000881687,0.000881687,0.000881687
58,3185.79,0.72033,0.7468,1.0689,0.87577,0.92095,0.95694,0.79843,0.60934,0.57341,0.94657,0.000872307,0.000872307,0.000872307
59,3231.67,0.71448,0.71882,1.06701,0.88642,0.87302,0.93524,0.7731,0.62041,0.6062,0.94767,0.000862928,0.000862928,0.000862928
60,3278.92,0.66726,0.68382,1.03626,0.90838,0.87695,0.9557,0.78697,0.6053,0.56828,0.94778,0.000853549,0.000853549,0.000853549
61,3327.51,0.67386,0.67483,1.02816,0.85544,0.8733,0.94061,0.78302,0.61599,0.6169,0.96789,0.000844169,0.000844169,0.000844169
62,3386.65,0.67688,0.67727,1.03935,0.92466,0.92626,0.97287,0.8142,0.57601,0.55407,0.93897,0.00083479,0.00083479,0.00083479
63,3448.43,0.6791,0.68238,1.04968,0.89948,0.92909,0.96586,0.8255,0.53112,0.53173,0.91017,0.000825411,0.000825411,0.000825411
64,3506.8,0.64972,0.64319,1.03101,0.93441,0.94569,0.97979,0.8589,0.48905,0.46409,0.90739,0.000816031,0.000816031,0.000816031
65,3563.28,0.65328,0.66556,1.0312,0.86548,0.87721,0.93258,0.80853,0.54241,0.64346,0.93593,0.000806652,0.000806652,0.000806652
66,3621.95,0.64633,0.64362,1.02485,0.97517,0.91541,0.969,0.84127,0.53506,0.44259,0.91712,0.000797273,0.000797273,0.000797273
67,3667.34,0.60539,0.61145,1.00299,0.93067,0.94047,0.96865,0.85801,0.48546,0.49237,0.88743,0.000787893,0.000787893,0.000787893
68,3746.31,0.68964,0.70566,1.05248,0.97331,0.93524,0.97572,0.87006,0.43137,0.42388,0.87818,0.000778514,0.000778514,0.000778514
69,3831.75,0.61838,0.61822,1.00499,0.96053,0.95091,0.9802,0.86878,0.44782,0.42755,0.88417,0.000769135,0.000769135,0.000769135
70,3880.06,0.66113,0.65831,1.0459,0.94068,0.95961,0.99102,0.87966,0.4468,0.39415,0.88689,0.000759756,0.000759756,0.000759756
71,3928.5,0.61771,0.59996,1.003,0.90637,0.97086,0.98427,0.87208,0.46949,0.40548,0.90145,0.000750376,0.000750376,0.000750376
72,3978.65,0.59848,0.59844,1.00451,0.94261,0.95699,0.98693,0.89352,0.44358,0.3759,0.86706,0.000740997,0.000740997,0.000740997
73,4025.49,0.60809,0.61287,1.00636,0.98098,0.96569,0.99374,0.89625,0.45047,0.36048,0.86571,0.000731618,0.000731618,0.000731618
74,4085.16,0.62488,0.63355,1.01023,0.96029,0.96437,0.98567,0.89775,0.44819,0.36615,0.86874,0.000722238,0.000722238,0.000722238
75,4144.76,0.61947,0.61208,1.01626,0.9759,0.96508,0.98873,0.88958,0.47417,0.40371,0.88898,0.000712859,0.000712859,0.000712859
76,4250.73,0.60852,0.59613,1.00638,0.8524,0.8548,0.91393,0.75116,0.66139,0.70994,1.01441,0.00070348,0.00070348,0.00070348
77,4292.11,0.59581,0.57417,0.99772,0.92729,0.91988,0.96673,0.83353,0.56686,0.50805,0.96869,0.0006941,0.0006941,0.0006941
78,4369.04,0.6125,0.60559,1.01555,0.98575,0.94156,0.9881,0.90104,0.42393,0.37586,0.86731,0.000684721,0.000684721,0.000684721
79,4460.75,0.59279,0.59754,1.00157,0.97304,0.98553,0.99189,0.90191,0.42097,0.35842,0.87676,0.000675342,0.000675342,0.000675342
