epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.3029,1.74442,2.79919,1.88396,0.0048,0.31464,0.01322,0.00308,3.12514,4.14402,3.29631,0.0791072,0.000107249,0.000107249
2,19.3424,1.55774,2.41467,1.75438,0.008,0.7261,0.23491,0.08267,1.87729,3.01272,1.84581,0.0572153,0.000215252,0.000215252
3,27.9576,1.54928,2.20709,1.70372,0.59918,0.19658,0.27581,0.13608,1.61872,2.6116,1.58164,0.0353188,0.0003188,0.0003188
4,37.4999,1.52386,2.06869,1.6988,0.44385,0.40879,0.43969,0.21355,1.71327,2.20253,1.62351,0.0134179,0.000417894,0.000417894
5,45.6174,1.43464,2.00246,1.65093,0.52155,0.33504,0.28216,0.12307,1.8109,2.2028,1.75705,0.000470214,0.000470214,0.000470214
6,53.6212,1.42896,1.87312,1.59605,0.59078,0.54959,0.57969,0.29406,1.6353,1.81121,1.56711,0.00046009,0.00046009,0.00046009
7,61.7799,1.37069,1.73705,1.55218,0.59838,0.53306,0.54158,0.21663,2.03054,1.90923,1.87163,0.000449967,0.000449967,0.000449967
8,70.0207,1.32725,1.71608,1.52962,0.6226,0.40901,0.45847,0.18655,2.05074,2.26801,1.99961,0.000439843,0.000439843,0.000439843
9,78.1911,1.40085,1.74672,1.57809,0.61158,0.51371,0.52422,0.2398,1.91449,1.88755,1.73971,0.000429719,0.000429719,0.000429719
10,87.5912,1.30613,1.5903,1.52597,0.6582,0.58901,0.6491,0.33858,1.78344,1.63836,1.5669,0.000419596,0.000419596,0.000419596
11,96.8431,1.27668,1.51103,1.47556,0.63364,0.59507,0.65521,0.35932,1.57598,1.66537,1.46045,0.000409472,0.000409472,0.000409472
