epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.6715,1.92036,3.20864,1.92144,0.00735,0.75099,0.06043,0.0231,1.75319,2.92144,1.78429,0.0673976,0.000329317,0.000329317
2,18.1431,1.59355,2.90755,1.67571,0.17787,0.16581,0.14259,0.06606,1.5251,2.64886,1.56901,0.034391,0.000656025,0.000656025
3,25.4968,1.4614,2.60869,1.56345,0.20457,0.23063,0.17084,0.06756,1.72593,2.60252,1.71069,0.00137767,0.000976066,0.000976066
4,32.759,1.38462,2.33409,1.47618,0.32904,0.32868,0.35642,0.19878,1.33611,2.1296,1.38076,0.000970003,0.000970003,0.000970003
5,39.9868,1.2947,2.1245,1.40996,0.43508,0.42534,0.42418,0.24753,1.28214,1.95317,1.33246,0.000960004,0.000960004,0.000960004
6,47.2409,1.24674,1.96291,1.37178,0.53734,0.58492,0.57437,0.34333,1.29695,1.64491,1.29843,0.000950005,0.000950005,0.000950005
7,54.7153,1.19261,1.85128,1.34074,0.61437,0.62219,0.6346,0.36985,1.30852,1.60894,1.31642,0.000940006,0.000940006,0.000940006
8,61.9413,1.15454,1.74833,1.31835,0.74452,0.60966,0.69153,0.47337,1.073,1.45862,1.15475,0.000930007,0.000930007,0.000930007
9,69.1494,1.15479,1.70338,1.31963,0.75182,0.68703,0.76659,0.50888,1.09136,1.29725,1.15421,0.000920008,0.000920008,0.000920008
10,76.3778,1.10668,1.60757,1.28883,0.72428,0.75137,0.79467,0.53966,1.08687,1.25391,1.15345,0.000910009,0.000910009,0.000910009
11,83.5723,1.07133,1.53476,1.26749,0.81096,0.73501,0.82995,0.55815,1.07115,1.15574,1.13391,0.00090001,0.00090001,0.00090001
12,90.7729,1.04179,1.45078,1.23295,0.83293,0.78065,0.86661,0.63529,0.92824,1.02524,1.07486,0.000890011,0.000890011,0.000890011
13,98.0023,1.02565,1.40233,1.2393,0.80732,0.75921,0.84828,0.64585,0.83658,1.12081,1.04618,0.000880012,0.000880012,0.000880012
