epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.1212,1.97975,3.23636,1.97635,0.00707,0.7743,0.05453,0.01884,1.90114,2.96464,1.9478,0.0671886,0.000331429,0.000331429
2,21.7299,1.73119,3.06931,1.79409,0.00692,0.76176,0.11046,0.04403,1.6323,2.81627,1.73577,0.0341859,0.000662103,0.000662103
3,31.4124,1.59441,2.93599,1.68986,0.17877,0.10932,0.12388,0.04996,1.67702,2.74547,1.72233,0.00118059,0.000990111,0.000990111
4,40.8251,1.50892,2.75828,1.62601,0.20945,0.36326,0.22352,0.11368,1.55932,2.37859,1.57311,0.000988001,0.000988001,0.000988001
5,50.399,1.46243,2.58353,1.57654,0.59613,0.3519,0.31066,0.16255,1.52863,2.24217,1.53496,0.000984002,0.000984002,0.000984002
6,59.8839,1.44143,2.42118,1.56792,0.6472,0.35369,0.35784,0.18398,1.56784,2.13181,1.54888,0.000980002,0.000980002,0.000980002
7,69.4641,1.41339,2.33968,1.52616,0.36994,0.40523,0.41449,0.22472,1.49538,2.01485,1.49833,0.000976002,0.000976002,0.000976002
8,78.9756,1.32602,2.19158,1.46257,0.41279,0.47814,0.4577,0.2684,1.34645,1.88609,1.38397,0.000972003,0.000972003,0.000972003
9,88.7431,1.33004,2.15924,1.46828,0.41208,0.4478,0.49734,0.30125,1.29766,1.79598,1.35741,0.000968003,0.000968003,0.000968003
10,98.2315,1.29147,2.07524,1.43846,0.43114,0.58253,0.5137,0.31375,1.25807,1.74623,1.33042,0.000964004,0.000964004,0.000964004
11,107.706,1.2563,1.99199,1.40061,0.4815,0.6268,0.58087,0.3523,1.27075,1.60567,1.31741,0.000960004,0.000960004,0.000960004
12,117.253,1.25163,1.96981,1.40829,0.60631,0.56268,0.6135,0.38578,1.22003,1.56061,1.27134,0.000956004,0.000956004,0.000956004
13,126.796,1.23935,1.91416,1.38834,0.57583,0.69635,0.65254,0.41373,1.21211,1.49408,1.26845,0.000952005,0.000952005,0.000952005
14,136.316,1.23624,1.86846,1.39362,0.6762,0.59167,0.68758,0.44432,1.17074,1.45198,1.24649,0.000948005,0.000948005,0.000948005
15,145.85,1.20436,1.8265,1.3803,0.74362,0.68089,0.73533,0.47146,1.20638,1.35305,1.24482,0.000944006,0.000944006,0.000944006
16,155.416,1.15617,1.74253,1.33597,0.76151,0.67775,0.7358,0.4708,1.19678,1.34328,1.23617,0.000940006,0.000940006,0.000940006
17,164.905,1.18895,1.74783,1.34702,0.82789,0.6533,0.76595,0.52338,1.09401,1.27202,1.19614,0.000936006,0.000936006,0.000936006
18,174.392,1.13314,1.64626,1.31609,0.82264,0.73621,0.80606,0.53398,1.12927,1.23334,1.20696,0.000932007,0.000932007,0.000932007
19,183.867,1.13231,1.6274,1.31095,0.77338,0.77244,0.81491,0.53679,1.10635,1.20667,1.18516,0.000928007,0.000928007,0.000928007
20,193.384,1.1074,1.59923,1.30075,0.78815,0.79879,0.83455,0.56221,1.12501,1.14462,1.18883,0.000924008,0.000924008,0.000924008
21,203.069,1.11388,1.59564,1.30834,0.8221,0.78321,0.84318,0.56256,1.11277,1.14928,1.18742,0.000920008,0.000920008,0.000920008
22,212.588,1.08655,1.52875,1.27588,0.85835,0.77061,0.87011,0.60655,1.04433,1.06953,1.15091,0.000916008,0.000916008,0.000916008
23,222.032,1.10243,1.52946,1.2927,0.81763,0.82727,0.88178,0.61472,1.02838,1.04302,1.15417,0.000912009,0.000912009,0.000912009
24,231.59,1.08137,1.50182,1.2792,0.868,0.81245,0.89263,0.62547,1.05386,1.00145,1.1607,0.000908009,0.000908009,0.000908009
25,241.047,1.09105,1.47784,1.28375,0.86328,0.82585,0.8925,0.6261,1.05324,0.96168,1.14607,0.00090401,0.00090401,0.00090401
26,250.555,1.07742,1.42066,1.26891,0.86718,0.819,0.89434,0.61477,1.05126,0.97588,1.13708,0.00090001,0.00090001,0.00090001
27,259.972,1.06407,1.4205,1.2511,0.89085,0.83584,0.89906,0.64614,1.01338,0.92764,1.11561,0.00089601,0.00089601,0.00089601
28,269.581,1.05015,1.36607,1.24211,0.855,0.8583,0.90081,0.64286,1.00826,0.92969,1.12041,0.000892011,0.000892011,0.000892011
29,278.973,1.02064,1.35754,1.23826,0.96416,0.84301,0.92725,0.66041,1.0037,0.90343,1.10499,0.000888011,0.000888011,0.000888011
30,288.597,1.04094,1.37095,1.24139,0.91455,0.87014,0.92463,0.68009,0.95384,0.87821,1.08949,0.000884012,0.000884012,0.000884012
31,298.001,1.03865,1.34327,1.24218,0.87986,0.86343,0.92103,0.66555,0.96036,0.89519,1.09783,0.000880012,0.000880012,0.000880012
32,307.537,1.00762,1.32398,1.2187,0.91265,0.87206,0.93862,0.69179,0.93544,0.83356,1.08219,0.000876012,0.000876012,0.000876012
33,317.164,1.00586,1.30422,1.2243,0.91183,0.86526,0.93903,0.69474,0.91752,0.84481,1.06739,0.000872013,0.000872013,0.000872013
34,326.77,1.01799,1.33573,1.24634,0.92146,0.87178,0.9371,0.6932,0.91531,0.84327,1.06758,0.000868013,0.000868013,0.000868013
35,336.111,0.99916,1.27659,1.21532,0.90171,0.87953,0.93638,0.69588,0.92918,0.82785,1.06763,0.000864014,0.000864014,0.000864014
