epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.18111,1.9547,3.40168,1.80959,0.00632,0.61738,0.1083,0.03108,1.9307,3.09356,1.99359,0.00010003,0.00010003,0.00010003
2,5.11308,1.80548,3.29621,1.61722,0.00698,0.6792,0.08748,0.04,1.59625,3.04858,1.73297,0.000214337,0.000214337,0.000214337
3,5.96961,1.59355,2.90447,1.52179,0.0081,0.75397,0.12377,0.0332,1.83021,2.99668,1.84986,0.00032859,0.00032859,0.00032859
4,6.75128,1.53642,2.72903,1.50732,0.00806,0.74603,0.19055,0.08313,1.49537,2.81876,1.57297,0.000442747,0.000442747,0.000442747
5,7.60025,1.46439,2.61211,1.48881,0.00851,0.74436,0.18828,0.09841,1.4068,2.81851,1.58312,0.000556766,0.000556766,0.000556766
6,8.45783,1.48396,2.51938,1.49052,0.08742,0.34378,0.10463,0.03956,1.53351,2.81224,1.68368,0.000670605,0.000670605,0.000670605
7,9.22746,1.44987,2.48775,1.49239,0.44057,0.10526,0.17117,0.08739,1.53259,2.54258,1.58005,0.000784223,0.000784223,0.000784223
8,9.97069,1.46518,2.34985,1.47891,0.19232,0.19707,0.18454,0.10416,1.64215,2.43615,1.7216,0.000897579,0.000897579,0.000897579
9,10.8262,1.49222,2.36753,1.50148,0.32912,0.29596,0.24776,0.10814,1.56873,2.3234,1.68692,0.00101063,0.00101063,0.00101063
10,11.6651,1.49306,2.31605,1.50947,0.29437,0.2878,0.23735,0.10985,1.59954,2.31481,1.66163,0.00112334,0.00112334,0.00112334
11,12.4913,1.44898,2.22343,1.46337,0.19608,0.3389,0.2686,0.12056,1.69314,2.27509,1.76369,0.00123565,0.00123565,0.00123565
12,13.3317,1.38308,2.24744,1.43098,0.54742,0.31997,0.2138,0.09914,1.86092,2.6364,1.94432,0.00134754,0.00134754,0.00134754
13,14.0834,1.48379,2.28407,1.49309,0.65117,0.22139,0.23574,0.11789,1.83777,2.97286,1.98592,0.00141647,0.00141647,0.00141647
14,14.8279,1.48433,2.21769,1.46481,0.18278,0.42941,0.21471,0.11518,1.916,3.4073,2.00527,0.0014143,0.0014143,0.0014143
15,15.5737,1.48917,2.27102,1.48148,0.2024,0.39098,0.21878,0.10456,1.85311,3.024,1.97465,0.00141196,0.00141196,0.00141196
16,16.3143,1.30728,2.12468,1.34157,0.22021,0.3289,0.19319,0.08221,1.96895,2.7053,2.16964,0.00140946,0.00140946,0.00140946
17,17.065,1.29459,2.12763,1.36258,0.21826,0.37218,0.22215,0.12036,1.86169,2.88876,2.06373,0.00140678,0.00140678,0.00140678
18,17.8148,1.28734,2.11897,1.38112,0.28843,0.30075,0.28666,0.16465,1.84527,2.71725,2.10537,0.00140393,0.00140393,0.00140393
19,18.6526,1.27543,2.01318,1.34966,0.13616,0.48329,0.18676,0.08445,1.92409,2.65536,2.19964,0.00140091,0.00140091,0.00140091
20,19.4035,1.34307,1.99931,1.3823,0.1914,0.2335,0.15123,0.06085,1.80905,3.0422,1.97384,0.00139773,0.00139773,0.00139773
21,20.1643,1.31938,1.93583,1.38662,0.1384,0.18755,0.13086,0.05146,1.80882,3.74727,1.91499,0.00139438,0.00139438,0.00139438
22,20.9164,1.36283,2.04727,1.3725,0.14946,0.37385,0.18545,0.07624,1.77737,4.2196,1.75025,0.00139086,0.00139086,0.00139086
23,21.6647,1.31007,2.02839,1.41137,0.3763,0.25621,0.28218,0.1465,1.6268,3.23727,1.66755,0.00138718,0.00138718,0.00138718
24,22.4154,1.28537,1.9388,1.33982,0.31957,0.43048,0.28371,0.14353,1.65399,2.66523,1.66361,0.00138334,0.00138334,0.00138334
25,23.1722,1.25406,1.87032,1.35472,0.31844,0.39483,0.26542,0.12243,1.80201,2.62186,1.76979,0.00137933,0.00137933,0.00137933
26,23.9394,1.3765,1.92883,1.42428,0.33881,0.38847,0.34053,0.15826,1.74614,2.49818,1.74863,0.00137516,0.00137516,0.00137516
27,24.7041,1.20302,1.86874,1.33251,0.26883,0.48538,0.33003,0.14895,1.62798,2.74393,1.74106,0.00137082,0.00137082,0.00137082
28,25.4489,1.28624,1.83688,1.37408,0.38592,0.40098,0.36024,0.20186,1.61357,2.25592,1.70722,0.00136633,0.00136633,0.00136633
29,26.2943,1.27321,1.85849,1.32925,0.27931,0.42451,0.32648,0.17075,1.68275,2.19489,1.69713,0.00136168,0.00136168,0.00136168
30,27.0398,1.23128,1.81626,1.3241,0.40693,0.2452,0.30057,0.17936,1.62728,2.16476,1.63962,0.00135687,0.00135687,0.00135687
31,27.783,1.2621,1.79329,1.35451,0.44369,0.32094,0.36118,0.17785,1.74304,2.30283,1.76718,0.0013519,0.0013519,0.0013519
32,28.5329,1.24475,1.75588,1.29495,0.3149,0.32731,0.31825,0.2005,1.62237,2.40999,1.64165,0.00134678,0.00134678,0.00134678
33,29.3056,1.20574,1.69929,1.27565,0.38834,0.25021,0.3123,0.19678,1.43275,2.46075,1.52394,0.0013415,0.0013415,0.0013415
34,30.0618,1.32248,1.91903,1.38728,0.27062,0.28814,0.2146,0.12894,1.45891,2.70498,1.53746,0.00133608,0.00133608,0.00133608
35,30.8229,1.16577,1.71295,1.24008,0.25528,0.40434,0.19132,0.1087,1.45785,2.83815,1.56386,0.0013305,0.0013305,0.0013305
36,31.5857,1.21429,1.81022,1.31516,0.24447,0.4579,0.21316,0.11475,1.43082,2.84334,1.49591,0.00132476,0.00132476,0.00132476
37,32.3386,1.20499,1.73061,1.31228,0.35425,0.40914,0.33385,0.18318,1.53015,2.4964,1.57077,0.00131888,0.00131888,0.00131888
38,33.0921,1.23426,1.69528,1.28072,0.30873,0.50585,0.33149,0.18157,1.70241,2.57089,1.80736,0.00131286,0.00131286,0.00131286
39,33.845,1.26218,1.7303,1.33249,0.37303,0.52647,0.41134,0.2279,1.6716,2.31049,1.75256,0.00130668,0.00130668,0.00130668
